JPGNumber,RaceNumber,BubbleNumber,Actual,Baseline,CNN
2345,0,6,0,0,-1
2349,0,0,1,1,-1
2349,0,1,0,0,-1
2349,0,2,1,1,-1
2349,0,3,1,1,-1
2349,0,4,0,0,-1
2349,0,5,0,0,-1
2349,0,6,0,0,-1
2351,0,0,1,0,-1
2351,0,1,0,0,-1
2351,0,2,1,0,-1
2351,0,3,1,0,-1
2351,0,4,0,0,-1
2351,0,5,0,0,-1
2351,0,6,0,0,-1
2353,0,0,1,0,-1
2353,0,1,0,1,-1
2353,0,2,1,0,-1
2353,0,3,1,0,-1
2353,0,4,0,0,-1
2353,0,5,0,0,-1
2353,0,6,0,0,-1
2355,0,0,0,0,-1
2355,0,1,0,0,-1
2355,0,2,0,0,-1
2355,0,3,0,0,-1
2355,0,4,0,0,-1
2355,0,5,0,0,-1
2355,0,6,0,0,-1
2357,0,0,0,1,-1
2357,0,1,1,1,-1
2357,0,2,0,1,-1
2357,0,3,0,0,-1
2357,0,4,0,0,-1
2357,0,5,0,0,-1
2357,0,6,0,0,-1
2359,0,0,0,1,-1
2359,0,1,0,1,-1
2359,0,2,0,0,-1
2359,0,3,0,1,-1
2359,0,4,0,0,-1
2359,0,5,0,0,-1
2359,0,6,0,0,-1
2361,0,0,1,1,-1
2361,0,1,1,1,-1
2361,0,2,1,1,-1
2361,0,3,0,0,-1
2361,0,4,0,0,-1
2361,0,5,0,0,-1
2361,0,6,0,0,-1
2363,0,0,1,0,-1
2363,0,1,1,0,-1
2363,0,2,0,0,-1
2363,0,3,1,0,-1
2363,0,4,0,0,-1
2363,0,5,0,0,-1
2363,0,6,0,0,-1
2365,0,0,1,1,-1
2365,0,1,1,1,-1
2365,0,2,1,0,-1
2365,0,3,0,1,-1
2365,0,4,0,0,-1
2365,0,5,0,0,-1
2365,0,6,0,0,-1
2367,0,0,0,0,-1
2367,0,1,0,1,-1
2367,0,2,0,0,-1
2367,0,3,0,0,-1
2367,0,4,0,0,-1
2367,0,5,0,0,-1
2367,0,6,0,0,-1
2369,0,0,1,1,-1
2369,0,1,1,1,-1
2369,0,2,0,1,-1
2369,0,3,1,0,-1
2369,0,4,0,0,-1
2369,0,5,0,0,-1
2369,0,6,0,0,-1
2373,0,0,0,1,-1
2373,0,1,1,1,-1
2373,0,2,0,0,-1
2373,0,3,0,1,-1
2373,0,4,0,0,-1
2373,0,5,0,0,-1
2373,0,6,0,0,-1
2375,0,0,1,0,-1
2375,0,1,1,0,-1
2375,0,2,1,1,-1
2375,0,3,0,0,-1
2375,0,4,0,0,-1
2375,0,5,0,0,-1
2375,0,6,0,0,-1
2377,0,0,0,0,-1
2377,0,1,1,0,-1
2377,0,2,0,1,-1
2377,0,3,0,0,-1
2377,0,4,0,0,-1
2377,0,5,0,0,-1
2377,0,6,0,0,-1
2379,0,0,1,1,-1
2379,0,1,1,1,-1
2379,0,2,0,1,-1
2379,0,3,1,0,-1
2379,0,4,0,0,-1
2379,0,5,0,0,-1
2379,0,6,0,0,-1
2381,0,0,0,1,-1
2381,0,1,0,1,-1
2381,0,2,1,0,-1
2381,0,3,0,1,-1
2381,0,4,0,0,-1
2381,0,5,0,0,-1
2381,0,6,0,0,-1
2383,0,0,0,0,-1
2383,0,1,0,1,-1
2383,0,2,1,0,-1
2383,0,3,0,0,-1
2383,0,4,0,0,-1
2383,0,5,0,0,-1
2383,0,6,0,0,-1
2385,0,0,1,0,-1
2385,0,1,1,1,-1
2385,0,2,1,1,-1
2385,0,3,0,1,-1
2385,0,4,0,0,-1
2385,0,5,0,0,-1
2385,0,6,0,0,-1
2387,0,0,1,0,-1
2387,0,1,1,0,-1
2387,0,2,0,0,-1
2387,0,3,1,0,-1
2387,0,4,0,0,-1
2387,0,5,0,0,-1
2387,0,6,0,0,-1
2389,0,0,0,1,-1
2389,0,1,1,0,-1
2389,0,2,0,0,-1
2389,0,3,0,0,-1
2389,0,4,0,0,-1
2389,0,5,0,0,-1
2389,0,6,0,0,-1
2391,0,0,0,0,-1
2391,0,1,1,0,-1
2391,0,2,1,1,-1
2391,0,3,1,0,-1
2391,0,4,0,0,-1
2391,0,5,0,0,-1
2391,0,6,0,0,-1
2393,0,0,0,1,-1
2393,0,1,0,1,-1
2393,0,2,0,0,-1
2393,0,3,0,0,-1
2393,0,4,0,0,-1
2393,0,5,0,0,-1
2393,0,6,0,0,-1
2395,0,0,1,1,-1
2395,0,1,0,0,-1
2395,0,2,0,1,-1
2395,0,3,0,1,-1
2395,0,4,0,0,-1
2395,0,5,0,0,-1
2395,0,6,0,0,-1
2397,0,0,0,1,-1
2397,0,1,0,0,-1
2397,0,2,1,1,-1
2397,0,3,0,1,-1
2397,0,4,0,0,-1
2397,0,5,0,0,-1
2397,0,6,0,0,-1
2399,0,0,1,0,-1
2399,0,1,1,0,-1
2399,0,2,0,0,-1
2399,0,3,0,0,-1
2399,0,4,0,0,-1
2399,0,5,0,0,-1
2399,0,6,0,0,-1
2401,0,0,1,1,-1
2401,0,1,0,1,-1
2401,0,2,1,0,-1
2401,0,3,1,1,-1
2401,0,4,0,0,-1
2401,0,5,0,0,-1
2401,0,6,0,0,-1
2403,0,0,1,0,-1
2403,0,1,0,0,-1
2403,0,2,1,1,-1
2403,0,3,1,0,-1
2403,0,4,0,0,-1
2403,0,5,0,0,-1
2403,0,6,0,0,-1
2405,0,0,0,0,-1
2405,0,1,0,0,-1
2405,0,2,0,0,-1
2405,0,3,0,0,-1
2405,0,4,0,0,-1
2405,0,5,0,0,-1
2405,0,6,0,0,-1
2407,0,0,1,1,-1
2407,0,1,1,1,-1
2407,0,2,0,1,-1
2407,0,3,1,0,-1
2407,0,4,0,0,-1
2407,0,5,0,0,-1
2407,0,6,0,0,-1
2409,0,0,0,1,-1
2409,0,1,0,1,-1
2409,0,2,1,0,-1
2409,0,3,0,1,-1
2409,0,4,0,0,-1
2409,0,5,0,0,-1
2409,0,6,0,0,-1
2411,0,0,0,0,-1
2411,0,1,0,0,-1
2411,0,2,0,0,-1
2411,0,3,0,1,-1
2411,0,4,0,0,-1
2411,0,5,0,0,-1
2411,0,6,0,0,-1
2413,0,0,1,0,-1
2413,0,1,1,0,-1
2413,0,2,1,1,-1
2413,0,3,0,1,-1
2413,0,4,0,0,-1
2413,0,5,0,0,-1
2413,0,6,0,0,-1
2415,0,0,1,0,-1
2415,0,1,1,0,-1
2415,0,2,0,1,-1
2415,0,3,1,1,-1
2415,0,4,0,0,-1
2415,0,5,0,0,-1
2415,0,6,0,0,-1
2417,0,0,0,0,-1
2417,0,1,0,0,-1
2417,0,2,0,0,-1
2417,0,3,1,0,-1
2417,0,4,0,0,-1
2417,0,5,0,0,-1
2417,0,6,0,0,-1
2419,0,0,0,0,-1
2419,0,1,0,0,-1
2419,0,2,1,0,-1
2419,0,3,1,0,-1
2419,0,4,0,0,-1
2419,0,5,0,0,-1
2419,0,6,0,0,-1
2421,0,0,0,0,-1
2421,0,1,0,0,-1
2421,0,2,1,1,-1
2421,0,3,1,0,-1
2421,0,4,0,0,-1
2421,0,5,0,0,-1
2421,0,6,0,0,-1
2423,0,0,0,0,-1
2423,0,1,0,0,-1
2423,0,2,0,0,-1
2423,0,3,0,0,-1
2423,0,4,0,0,-1
2423,0,5,0,0,-1
2423,0,6,0,0,-1
2425,0,0,0,0,-1
2425,0,1,0,0,-1
2425,0,2,0,0,-1
2425,0,3,0,0,-1
2425,0,4,0,0,-1
2425,0,5,0,0,-1
2425,0,6,0,0,-1
2427,0,0,0,1,-1
2427,0,1,0,1,-1
2427,0,2,1,1,-1
2427,0,3,0,0,-1
2427,0,4,0,0,-1
2427,0,5,0,0,-1
2427,0,6,0,0,-1
2429,0,0,0,0,-1
2429,0,1,0,0,-1
2429,0,2,0,0,-1
2429,0,3,0,0,-1
2429,0,4,0,0,-1
2429,0,5,0,0,-1
2429,0,6,0,0,-1
2431,0,0,0,1,-1
2431,0,1,0,1,-1
2431,0,2,0,0,-1
2431,0,3,0,1,-1
2431,0,4,0,0,-1
2431,0,5,0,0,-1
2431,0,6,0,0,-1
2433,0,0,1,1,-1
2433,0,1,1,1,-1
2433,0,2,1,1,-1
2433,0,3,0,0,-1
2433,0,4,0,0,-1
2433,0,5,0,0,-1
2433,0,6,0,0,-1
2435,0,0,0,1,-1
2435,0,1,0,1,-1
2435,0,2,0,0,-1
2435,0,3,0,1,-1
2435,0,4,0,0,-1
2435,0,5,0,0,-1
2435,0,6,0,0,-1
2437,0,0,1,1,-1
2437,0,1,1,1,-1
2437,0,2,0,0,-1
2437,0,3,1,1,-1
2437,0,4,0,0,-1
2437,0,5,0,0,-1
2437,0,6,0,0,-1
2439,0,0,1,1,-1
2439,0,1,1,1,-1
2439,0,2,1,1,-1
2439,0,3,0,0,-1
2439,0,4,0,0,-1
2439,0,5,0,0,-1
2439,0,6,0,0,-1
2441,0,0,1,1,-1
2441,0,1,1,1,-1
2441,0,2,0,1,-1
2441,0,3,1,0,-1
2441,0,4,0,0,-1
2441,0,5,0,0,-1
2441,0,6,0,0,-1
2443,0,0,1,0,-1
2443,0,1,1,0,-1
2443,0,2,0,0,-1
2443,0,3,1,0,-1
2443,0,4,0,0,-1
2443,0,5,0,0,-1
2443,0,6,0,0,-1
2445,0,0,1,1,-1
2445,0,1,1,1,-1
2445,0,2,1,0,-1
2445,0,3,0,1,-1
2445,0,4,0,0,-1
2445,0,5,0,0,-1
2445,0,6,0,0,-1
2447,0,0,1,1,-1
2447,0,1,1,1,-1
2447,0,2,1,1,-1
2447,0,3,0,0,-1
2447,0,4,0,0,-1
2447,0,5,0,0,-1
2447,0,6,0,0,-1
2449,0,0,0,1,-1
2449,0,1,0,0,-1
2449,0,2,0,1,-1
2449,0,3,0,0,-1
2449,0,4,0,0,-1
2449,0,5,0,0,-1
2449,0,6,0,0,-1
2451,0,0,1,0,-1
2451,0,1,1,0,-1
2451,0,2,0,1,-1
2451,0,3,1,0,-1
2451,0,4,0,0,-1
2451,0,5,0,0,-1
2451,0,6,0,0,-1
2453,0,0,1,0,-1
2453,0,1,1,0,-1
2453,0,2,1,1,-1
2453,0,3,0,0,-1
2453,0,4,0,0,-1
2453,0,5,0,0,-1
2453,0,6,0,0,-1
2455,0,0,1,1,-1
2455,0,1,0,1,-1
2455,0,2,1,0,-1
2455,0,3,0,0,-1
2455,0,4,0,0,-1
2455,0,5,0,0,-1
2455,0,6,0,0,-1
2457,0,0,0,1,-1
2457,0,1,0,0,-1
2457,0,2,1,1,-1
2457,0,3,0,1,-1
2457,0,4,0,0,-1
2457,0,5,0,0,-1
2457,0,6,0,0,-1
2459,0,0,0,0,-1
2459,0,1,0,1,-1
2459,0,2,1,1,-1
2459,0,3,0,1,-1
2459,0,4,0,0,-1
2459,0,5,0,0,-1
2459,0,6,0,0,-1
2461,0,0,1,1,-1
2461,0,1,1,1,-1
2461,0,2,0,0,-1
2461,0,3,0,1,-1
2461,0,4,0,0,-1
2461,0,5,0,0,-1
2461,0,6,0,0,-1
2463,0,0,1,2,-1
2463,0,1,0,2,-1
2463,0,2,1,2,-1
2463,0,3,1,2,-1
2463,0,4,0,2,-1
2463,0,5,0,2,-1
2463,0,6,0,2,-1
2465,0,0,0,0,-1
2465,0,1,1,1,-1
2465,0,2,1,0,-1
2465,0,3,1,0,-1
2465,0,4,0,0,-1
2465,0,5,0,0,-1
2465,0,6,0,0,-1
2467,0,0,1,1,-1
2467,0,1,1,0,-1
2467,0,2,0,1,-1
2467,0,3,1,1,-1
2467,0,4,0,0,-1
2467,0,5,0,0,-1
2467,0,6,0,0,-1
2469,0,0,1,1,-1
2469,0,1,1,1,-1
2469,0,2,0,1,-1
2469,0,3,1,0,-1
2469,0,4,0,0,-1
2469,0,5,0,0,-1
2469,0,6,0,0,-1
2471,0,0,0,1,-1
2471,0,1,1,0,-1
2471,0,2,0,1,-1
2471,0,3,0,1,-1
2471,0,4,0,0,-1
2471,0,5,0,0,-1
2471,0,6,0,0,-1
2473,0,0,1,0,-1
2473,0,1,0,0,-1
2473,0,2,1,0,-1
2473,0,3,1,0,-1
2473,0,4,0,0,-1
2473,0,5,0,0,-1
2473,0,6,0,0,-1
2475,0,0,1,0,-1
2475,0,1,1,0,-1
2475,0,2,1,0,-1
2475,0,3,0,0,-1
2475,0,4,0,0,-1
2475,0,5,0,0,-1
2475,0,6,0,0,-1
2477,0,0,1,1,-1
2477,0,1,0,1,-1
2477,0,2,1,1,-1
2477,0,3,1,0,-1
2477,0,4,0,0,-1
2477,0,5,0,0,-1
2477,0,6,0,0,-1
2479,0,0,0,1,-1
2479,0,1,0,1,-1
2479,0,2,0,1,-1
2479,0,3,0,0,-1
2479,0,4,0,0,-1
2479,0,5,0,0,-1
2479,0,6,0,0,-1
2481,0,0,0,1,-1
2481,0,1,0,1,-1
2481,0,2,0,1,-1
2481,0,3,0,0,-1
2481,0,4,0,0,-1
2481,0,5,0,0,-1
2481,0,6,0,0,-1
2483,0,0,1,1,-1
2483,0,1,1,1,-1
2483,0,2,1,0,-1
2483,0,3,0,1,-1
2483,0,4,0,0,-1
2483,0,5,0,0,-1
2483,0,6,0,0,-1
2485,0,0,1,0,-1
2485,0,1,1,0,-1
2485,0,2,1,0,-1
2485,0,3,0,1,-1
2485,0,4,0,0,-1
2485,0,5,0,0,-1
2485,0,6,0,0,-1
2487,0,0,1,1,-1
2487,0,1,1,1,-1
2487,0,2,1,1,-1
2487,0,3,0,0,-1
2487,0,4,0,0,-1
2487,0,5,0,0,-1
2487,0,6,0,0,-1
2489,0,0,1,0,-1
2489,0,1,1,1,-1
2489,0,2,0,0,-1
2489,0,3,1,1,-1
2489,0,4,0,0,-1
2489,0,5,0,0,-1
2489,0,6,0,0,-1
2491,0,0,0,0,-1
2491,0,1,0,1,-1
2491,0,2,0,1,-1
2491,0,3,1,0,-1
2491,0,4,0,0,-1
2491,0,5,0,0,-1
2491,0,6,0,0,-1
2493,0,0,1,0,-1
2493,0,1,1,0,-1
2493,0,2,1,1,-1
2493,0,3,0,0,-1
2493,0,4,0,0,-1
2493,0,5,0,0,-1
2493,0,6,0,0,-1
2495,0,0,0,0,-1
2495,0,1,1,1,-1
2495,0,2,0,0,-1
2495,0,3,1,0,-1
2495,0,4,0,0,-1
2495,0,5,0,0,-1
2495,0,6,0,0,-1
2497,0,0,0,1,-1
2497,0,1,1,0,-1
2497,0,2,1,1,-1
2497,0,3,0,1,-1
2497,0,4,0,0,-1
2497,0,5,0,0,-1
2497,0,6,0,0,-1
2499,0,0,0,0,-1
2499,0,1,0,0,-1
2499,0,2,1,0,-1
2499,0,3,0,0,-1
2499,0,4,0,0,-1
2499,0,5,0,0,-1
2499,0,6,0,0,-1
2501,0,0,0,1,-1
2501,0,1,1,1,-1
2501,0,2,0,0,-1
2501,0,3,0,1,-1
2501,0,4,0,0,-1
2501,0,5,0,0,-1
2501,0,6,0,0,-1
2503,0,0,1,0,-1
2503,0,1,0,0,-1
2503,0,2,1,0,-1
2503,0,3,1,0,-1
2503,0,4,0,0,-1
2503,0,5,0,0,-1
2503,0,6,0,0,-1
2505,0,0,0,1,-1
2505,0,1,0,1,-1
2505,0,2,0,1,-1
2505,0,3,0,0,-1
2505,0,4,0,0,-1
2505,0,5,0,0,-1
2505,0,6,0,0,-1
2507,0,0,1,1,-1
2507,0,1,1,1,-1
2507,0,2,0,0,-1
2507,0,3,1,1,-1
2507,0,4,0,0,-1
2507,0,5,0,0,-1
2507,0,6,0,0,-1
2509,0,0,0,0,-1
2509,0,1,0,0,-1
2509,0,2,0,1,-1
2509,0,3,0,0,-1
2509,0,4,0,0,-1
2509,0,5,0,0,-1
2509,0,6,0,0,-1
2511,0,0,1,0,-1
2511,0,1,1,1,-1
2511,0,2,1,1,-1
2511,0,3,0,1,-1
2511,0,4,0,0,-1
2511,0,5,0,0,-1
2511,0,6,0,0,-1
2513,0,0,1,1,-1
2513,0,1,1,1,-1
2513,0,2,0,0,-1
2513,0,3,1,1,-1
2513,0,4,0,0,-1
2513,0,5,0,0,-1
2513,0,6,0,0,-1
2515,0,0,0,1,-1
2515,0,1,0,1,-1
2515,0,2,1,1,-1
2515,0,3,0,0,-1
2515,0,4,0,0,-1
2515,0,5,0,0,-1
2515,0,6,0,0,-1
2517,0,0,0,1,-1
2517,0,1,1,0,-1
2517,0,2,1,1,-1
2517,0,3,1,1,-1
2517,0,4,0,0,-1
2517,0,5,0,0,-1
2517,0,6,0,0,-1
2519,0,0,1,2,-1
2519,0,1,1,2,-1
2519,0,2,0,2,-1
2519,0,3,1,2,-1
2519,0,4,0,2,-1
2519,0,5,0,2,-1
2519,0,6,0,2,-1
2521,0,0,1,0,-1
2521,0,1,1,1,-1
2521,0,2,1,1,-1
2521,0,3,0,1,-1
2521,0,4,0,0,-1
2521,0,5,0,0,-1
2521,0,6,0,0,-1
2523,0,0,1,0,-1
2523,0,1,0,0,-1
2523,0,2,1,0,-1
2523,0,3,1,0,-1
2523,0,4,0,0,-1
2523,0,5,0,0,-1
2523,0,6,0,0,-1
2525,0,0,0,0,-1
2525,0,1,1,0,-1
2525,0,2,1,1,-1
2525,0,3,1,0,-1
2525,0,4,0,0,-1
2525,0,5,0,0,-1
2525,0,6,0,0,-1
2527,0,0,0,0,-1
2527,0,1,1,0,-1
2527,0,2,1,0,-1
2527,0,3,1,0,-1
2527,0,4,0,0,-1
2527,0,5,0,0,-1
2527,0,6,0,0,-1
2529,0,0,0,1,-1
2529,0,1,0,1,-1
2529,0,2,0,1,-1
2529,0,3,0,0,-1
2529,0,4,0,0,-1
2529,0,5,0,0,-1
2529,0,6,0,0,-1
2531,0,0,0,0,-1
2531,0,1,0,0,-1
2531,0,2,1,0,-1
2531,0,3,0,0,-1
2531,0,4,0,1,-1
2531,0,5,0,1,-1
2531,0,6,0,1,-1
2533,0,0,0,1,-1
2533,0,1,0,1,-1
2533,0,2,0,1,-1
2533,0,3,0,0,-1
2533,0,4,0,0,-1
2533,0,5,0,0,-1
2533,0,6,0,0,-1
2535,0,0,1,0,-1
2535,0,1,1,0,-1
2535,0,2,1,0,-1
2535,0,3,0,0,-1
2535,0,4,0,0,-1
2535,0,5,0,0,-1
2535,0,6,0,0,-1
2537,0,0,0,1,-1
2537,0,1,0,1,-1
2537,0,2,0,0,-1
2537,0,3,0,1,-1
2537,0,4,1,0,-1
2537,0,5,1,0,-1
2537,0,6,1,0,-1
2539,0,0,1,0,-1
2539,0,1,1,0,-1
2539,0,2,1,0,-1
2539,0,3,0,0,-1
2539,0,4,0,0,-1
2539,0,5,0,0,-1
2539,0,6,0,0,-1
2541,0,0,0,0,-1
2541,0,1,0,0,-1
2541,0,2,0,0,-1
2541,0,3,0,1,-1
2541,0,4,0,1,-1
2541,0,5,0,1,-1
2541,0,6,0,0,-1
2843,0,0,1,1,-1
2843,0,1,1,1,-1
2843,0,2,0,1,-1
2843,0,3,1,0,-1
2843,0,4,0,0,-1
2843,0,5,0,0,-1
2843,0,6,0,0,-1
2845,0,0,0,1,-1
2845,0,1,0,0,-1
2845,0,2,0,1,-1
2845,0,3,0,1,-1
2845,0,4,0,0,-1
2845,0,5,0,0,-1
2845,0,6,0,0,-1
2847,0,0,0,1,-1
2847,0,1,0,1,-1
2847,0,2,0,0,-1
2847,0,3,1,1,-1
2847,0,4,1,0,-1
2847,0,5,1,0,-1
2847,0,6,0,0,-1
2849,0,0,1,1,-1
2849,0,1,1,0,-1
2849,0,2,1,0,-1
2849,0,3,0,0,-1
2849,0,4,0,0,-1
2849,0,5,0,0,-1
2849,0,6,0,0,-1
2851,0,0,1,1,-1
2851,0,1,0,1,-1
2851,0,2,1,0,-1
2851,0,3,1,1,-1
2851,0,4,0,0,-1
2851,0,5,0,0,-1
2851,0,6,0,0,-1
2853,0,0,1,1,-1
2853,0,1,1,1,-1
2853,0,2,0,0,-1
2853,0,3,1,1,-1
2853,0,4,0,0,-1
2853,0,5,0,0,-1
2853,0,6,0,0,-1
2855,0,0,1,1,-1
2855,0,1,0,1,-1
2855,0,2,0,0,-1
2855,0,3,0,1,-1
2855,0,4,0,0,-1
2855,0,5,0,0,-1
2855,0,6,0,0,-1
2857,0,0,1,0,-1
2857,0,1,1,0,-1
2857,0,2,0,0,-1
2857,0,3,1,0,-1
2857,0,4,0,0,-1
2857,0,5,0,0,-1
2857,0,6,0,0,-1
2859,0,0,1,0,-1
2859,0,1,1,0,-1
2859,0,2,0,0,-1
2859,0,3,1,1,-1
2859,0,4,0,0,-1
2859,0,5,0,0,-1
2859,0,6,0,0,-1
2861,0,0,1,0,-1
2861,0,1,1,1,-1
2861,0,2,0,1,-1
2861,0,3,1,1,-1
2861,0,4,0,0,-1
2861,0,5,0,0,-1
2861,0,6,0,0,-1
2863,0,0,0,1,-1
2863,0,1,0,0,-1
2863,0,2,0,1,-1
2863,0,3,0,1,-1
2863,0,4,0,0,-1
2863,0,5,0,0,-1
2863,0,6,0,0,-1
2865,0,0,0,0,-1
2865,0,1,0,0,-1
2865,0,2,0,0,-1
2865,0,3,1,0,-1
2865,0,4,0,0,-1
2865,0,5,0,0,-1
2865,0,6,0,0,-1
2867,0,0,0,0,-1
2867,0,1,1,0,-1
2867,0,2,1,0,-1
2867,0,3,1,0,-1
2867,0,4,0,0,-1
2867,0,5,0,0,-1
2867,0,6,0,0,-1
2869,0,0,1,1,-1
2869,0,1,0,1,-1
2869,0,2,1,0,-1
2869,0,3,1,1,-1
2869,0,4,0,0,-1
2869,0,5,0,0,-1
2869,0,6,0,0,-1
2873,0,0,0,0,-1
2873,0,1,0,1,-1
2873,0,2,0,1,-1
2873,0,3,0,1,-1
2873,0,4,0,0,-1
2873,0,5,0,0,-1
2873,0,6,0,0,-1
2875,0,0,0,1,-1
2875,0,1,0,1,-1
2875,0,2,0,0,-1
2875,0,3,0,1,-1
2875,0,4,0,0,-1
2875,0,5,0,0,-1
2875,0,6,0,0,-1
2877,0,0,1,1,-1
2877,0,1,1,1,-1
2877,0,2,0,0,-1
2877,0,3,1,1,-1
2877,0,4,0,0,-1
2877,0,5,0,0,-1
2877,0,6,0,0,-1
2879,0,0,1,1,-1
2879,0,1,1,1,-1
2879,0,2,0,0,-1
2879,0,3,1,1,-1
2879,0,4,0,0,-1
2879,0,5,0,0,-1
2879,0,6,0,0,-1
2881,0,0,0,1,-1
2881,0,1,1,1,-1
2881,0,2,1,0,-1
2881,0,3,1,1,-1
2881,0,4,0,0,-1
2881,0,5,0,0,-1
2881,0,6,0,0,-1
2883,0,0,1,0,-1
2883,0,1,1,0,-1
2883,0,2,0,0,-1
2883,0,3,1,0,-1
2883,0,4,0,0,-1
2883,0,5,0,0,-1
2883,0,6,0,0,-1
2885,0,0,1,1,-1
2885,0,1,1,0,-1
2885,0,2,0,1,-1
2885,0,3,1,1,-1
2885,0,4,0,0,-1
2885,0,5,0,0,-1
2885,0,6,0,0,-1
2887,0,0,1,0,-1
2887,0,1,1,1,-1
2887,0,2,0,1,-1
2887,0,3,1,1,-1
2887,0,4,0,0,-1
2887,0,5,0,0,-1
2887,0,6,0,0,-1
2889,0,0,1,0,-1
2889,0,1,1,1,-1
2889,0,2,0,0,-1
2889,0,3,1,0,-1
2889,0,4,0,0,-1
2889,0,5,0,0,-1
2889,0,6,0,0,-1
2891,0,0,0,1,-1
2891,0,1,0,0,-1
2891,0,2,0,1,-1
2891,0,3,0,1,-1
2891,0,4,0,0,-1
2891,0,5,0,0,-1
2891,0,6,0,0,-1
2893,0,0,1,1,-1
2893,0,1,0,1,-1
2893,0,2,1,0,-1
2893,0,3,1,1,-1
2893,0,4,0,0,-1
2893,0,5,0,0,-1
2893,0,6,0,0,-1
2895,0,0,0,1,-1
2895,0,1,1,1,-1
2895,0,2,1,0,-1
2895,0,3,1,1,-1
2895,0,4,0,0,-1
2895,0,5,0,0,-1
2895,0,6,0,0,-1
2897,0,0,0,1,-1
2897,0,1,1,1,-1
2897,0,2,0,0,-1
2897,0,3,0,1,-1
2897,0,4,0,0,-1
2897,0,5,0,0,-1
2897,0,6,0,0,-1
2899,0,0,1,1,-1
2899,0,1,0,1,-1
2899,0,2,1,0,-1
2899,0,3,1,1,-1
2899,0,4,0,0,-1
2899,0,5,0,0,-1
2899,0,6,0,0,-1
2901,0,0,1,1,-1
2901,0,1,1,1,-1
2901,0,2,0,0,-1
2901,0,3,1,1,-1
2901,0,4,0,0,-1
2901,0,5,0,0,-1
2901,0,6,0,0,-1
2903,0,0,1,1,-1
